"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"in_out";"sex"
"98";"2000_44_myken";"2000_44";44;"2000_myken";2000;"myken";22;2;1998;"yes";NA;NA;NA;1;31;31;3.43398720448515;0;0
"99";"2001_44_myken";"2001_44";44;"2001_myken";2001;"myken";22;3;1998;"gene_new";NA;NA;"gene_new";0;38;38;3.63758615972639;0;0
"100";"1999_45_myken";"1999_45";45;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;1;37;37;3.61091791264422;0;1
"101";"2000_45_myken";"2000_45";45;"2000_myken";2000;"myken";22;2;1998;"no";"obs";NA;NA;1;31;31;3.43398720448515;0;1
"102";"2001_45_myken";"2001_45";45;"2001_myken";2001;"myken";22;3;1998;"no";"obs";"capt";NA;1;38;38;3.63758615972639;0;1
"103";"2002_45_myken";"2002_45";45;"2002_myken";2002;"myken";22;4;1998;"no";"obs";NA;NA;0;34;34;3.52636052461616;0;1
"104";"1999_46_myken";"1999_46";46;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;1;37;37;3.61091791264422;0;1
"105";"2000_46_myken";"2000_46";46;"2000_myken";2000;"myken";22;2;1998;"no";"obs";NA;NA;1;31;31;3.43398720448515;0;1
"106";"2001_46_myken";"2001_46";46;"2001_myken";2001;"myken";22;3;1998;"no";"obs";NA;NA;0;38;38;3.63758615972639;0;1
"107";"1999_47_myken";"1999_47";47;"1999_myken";1999;"myken";22;1;1998;"no";NA;"capt";NA;1;37;37;3.61091791264422;0;1
"108";"2000_47_myken";"2000_47";47;"2000_myken";2000;"myken";22;2;1998;"no";"obs";NA;NA;0;31;31;3.43398720448515;0;1
"109";"1999_48_myken";"1999_48";48;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;0;37;37;3.61091791264422;0;1
"110";"1999_49_myken";"1999_49";49;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;1;37;37;3.61091791264422;0;0
"111";"2000_49_myken";"2000_49";49;"2000_myken";2000;"myken";22;2;1998;"no";"obs";NA;NA;0;31;31;3.43398720448515;0;0
"112";"2000_50_hestmannøy";"2000_50";50;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";NA;"capt";NA;0;121;121;4.79579054559674;1;0
"113";"2000_51_sleneset";"2000_51";51;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;0;60;60;4.0943445622221;0;1
"114";"2000_52_sleneset";"2000_52";52;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;0;60;60;4.0943445622221;0;0
"115";"2000_53_sleneset";"2000_53";53;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;0;60;60;4.0943445622221;0;1
"116";"1999_54_træna";"1999_54";54;"1999_træna";1999;"træna";23;1;1998;"no";NA;"capt";NA;0;77;77;4.34380542185368;0;0
"117";"1999_55_træna";"1999_55";55;"1999_træna";1999;"træna";23;1;1998;"no";"obs";"capt";NA;0;77;77;4.34380542185368;0;1
"118";"1999_56_indre kvarøy";"1999_56";56;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"no";NA;"capt";NA;1;51;51;3.93182563272433;1;0
"119";"2000_56_indre kvarøy";"2000_56";56;"2000_indre kvarøy";2000;"indre kvarøy";28;2;1998;"no";"obs";NA;NA;1;32;32;3.46573590279973;1;0
"120";"2001_56_indre kvarøy";"2001_56";56;"2001_indre kvarøy";2001;"indre kvarøy";28;3;1998;"no";"obs";"capt";NA;0;40;40;3.68887945411394;1;0
"121";"2000_57_indre kvarøy";"2000_57";57;"2000_indre kvarøy";2000;"indre kvarøy";28;1;1999;"no";"obs";"capt";NA;0;32;32;3.46573590279973;1;1
"122";"2000_58_hestmannøy";"2000_58";58;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"yes";NA;NA;NA;1;121;121;4.79579054559674;1;0
"123";"2001_58_hestmannøy";"2001_58";58;"2001_hestmannøy";2001;"hestmannøy";27;2;1999;"no";"obs";"capt";NA;0;141;141;4.94875989037817;1;0
"124";"2000_59_hestmannøy";"2000_59";59;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";"obs";"capt";NA;1;121;121;4.79579054559674;1;1
"125";"2001_59_hestmannøy";"2001_59";59;"2001_hestmannøy";2001;"hestmannøy";27;2;1999;"no";"obs";"capt";NA;0;141;141;4.94875989037817;1;1
"126";"2000_60_gjerøy";"2000_60";60;"2000_gjerøy";2000;"gjerøy";26;1;1999;"no";"obs";"capt";NA;1;67;67;4.20469261939097;1;1
