"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_age_sq";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"zNR";"in_out";"sex";"N_nestlings";"N_Recruits";"r2s"
"129";"2007_68_hestmannøy";"2007_68";68;"2007_hestmannøy";2007;"hestmannøy";27;4;16;2002;"no";"obs";"capt";NA;0;172;172;5.14749447681345;0.053125;1;0;4;1;1
"130";"2007_69_gjerøy";"2007_69";69;"2007_gjerøy";2007;"gjerøy";26;4;16;2002;"no";NA;"capt";NA;0;108;108;4.68213122712422;-0.571875;1;0;5;3;3
"131";"2007_70_myken";"2007_70";70;"2007_myken";2007;"myken";22;4;16;2002;"no";"obs";"capt";NA;0;32;32;3.46573590279973;0.221428571428571;0;1;4;1;1
"132";"2007_71_aldra";"2007_71";71;"2007_aldra";2007;"aldra";38;4;16;2002;"no";NA;"capt";NA;0;43;43;3.76120011569356;0.2625;1;1;4;1;1
"133";"2007_72_hestmannøy";"2007_72";72;"2007_hestmannøy";2007;"hestmannøy";27;4;16;2002;"no";"obs";"capt";NA;0;172;172;5.14749447681345;0.053125;1;0;5;1;1
"134";"2008_73_gjerøy";"2008_73";73;"2008_gjerøy";2008;"gjerøy";26;5;25;2002;"no";"obs";NA;NA;0;121;121;4.79579054559674;-0.246875;1;1;1;0;0
"135";"2008_74_gjerøy";"2008_74";74;"2008_gjerøy";2008;"gjerøy";26;5;25;2002;"no";"obs";NA;NA;0;121;121;4.79579054559674;-0.246875;1;1;2;0;0
"136";"2007_75_nesøy";"2007_75";75;"2007_nesøy";2007;"nesøy";20;4;16;2002;"yes";NA;NA;NA;1;12;12;2.484906649788;-0.140625;1;1;3;0;2
"137";"2007_76_hestmannøy";"2007_76";76;"2007_hestmannøy";2007;"hestmannøy";27;4;16;2002;"no";"obs";"capt";NA;1;172;172;5.14749447681345;0.053125;1;0;8;1;3
"138";"2008_76_hestmannøy";"2008_76";76;"2008_hestmannøy";2008;"hestmannøy";27;5;25;2002;"no";NA;"capt";NA;0;153;153;5.03043792139244;-0.421875;1;0;4;1;1
