"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"sex";"Own_survival";"N_Recruits";"r2s";"estimated_pop_size";"in_out";"n";"N";"Mean_N_isl";"zNR"
"93";"2000_42_myken";"2000_42";42;"2000_myken";2000;"myken";22;2;1998;"no";NA;"capt";NA;0;1;0;2;31;0;3.43398720448515;31;23.2272727272727;0.194318181818182
"94";"2001_42_myken";"2001_42";42;"2001_myken";2001;"myken";22;3;1998;"no";"obs";NA;NA;0;1;0;2;38;0;3.63758615972639;38;23.2272727272727;0.369318181818182
"95";"2002_42_myken";"2002_42";42;"2002_myken";2002;"myken";22;4;1998;"no";"obs";"capt";NA;0;0;0;0;34;0;3.52636052461616;34;23.2272727272727;0.269318181818182
"96";"1999_43_myken";"1999_43";43;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;0;0;0;0;37;0;3.61091791264422;37;23.2272727272727;0.344318181818182
"97";"1999_44_myken";"1999_44";44;"1999_myken";1999;"myken";22;1;1998;"no";NA;"capt";NA;0;1;0;2;37;0;3.61091791264422;37;23.2272727272727;0.344318181818182
"98";"2000_44_myken";"2000_44";44;"2000_myken";2000;"myken";22;2;1998;"yes";NA;NA;NA;0;1;0;2;31;0;3.43398720448515;31;23.2272727272727;0.194318181818182
"99";"2001_44_myken";"2001_44";44;"2001_myken";2001;"myken";22;3;1998;"gene_new";NA;NA;"gene_new";0;0;2;2;38;0;3.63758615972639;38;23.2272727272727;0.369318181818182
"100";"1999_45_myken";"1999_45";45;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;1;1;0;2;37;0;3.61091791264422;37;23.2272727272727;0.344318181818182
"101";"2000_45_myken";"2000_45";45;"2000_myken";2000;"myken";22;2;1998;"no";"obs";NA;NA;1;1;0;2;31;0;3.43398720448515;31;23.2272727272727;0.194318181818182
"102";"2001_45_myken";"2001_45";45;"2001_myken";2001;"myken";22;3;1998;"no";"obs";"capt";NA;1;1;0;2;38;0;3.63758615972639;38;23.2272727272727;0.369318181818182
"103";"2002_45_myken";"2002_45";45;"2002_myken";2002;"myken";22;4;1998;"no";"obs";NA;NA;1;0;0;0;34;0;3.52636052461616;34;23.2272727272727;0.269318181818182
"104";"1999_46_myken";"1999_46";46;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;1;1;3;5;37;0;3.61091791264422;37;23.2272727272727;0.344318181818182
"105";"2000_46_myken";"2000_46";46;"2000_myken";2000;"myken";22;2;1998;"no";"obs";NA;NA;1;1;0;2;31;0;3.43398720448515;31;23.2272727272727;0.194318181818182
"106";"2001_46_myken";"2001_46";46;"2001_myken";2001;"myken";22;3;1998;"no";"obs";NA;NA;1;0;0;0;38;0;3.63758615972639;38;23.2272727272727;0.369318181818182
"107";"1999_47_myken";"1999_47";47;"1999_myken";1999;"myken";22;1;1998;"no";NA;"capt";NA;1;1;0;2;37;0;3.61091791264422;37;23.2272727272727;0.344318181818182
"108";"2000_47_myken";"2000_47";47;"2000_myken";2000;"myken";22;2;1998;"no";"obs";NA;NA;1;0;2;2;31;0;3.43398720448515;31;23.2272727272727;0.194318181818182
"109";"1999_48_myken";"1999_48";48;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;1;0;0;0;37;0;3.61091791264422;37;23.2272727272727;0.344318181818182
"110";"1999_49_myken";"1999_49";49;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;0;1;0;2;37;0;3.61091791264422;37;23.2272727272727;0.344318181818182
"111";"2000_49_myken";"2000_49";49;"2000_myken";2000;"myken";22;2;1998;"no";"obs";NA;NA;0;0;0;0;31;0;3.43398720448515;31;23.2272727272727;0.194318181818182
"112";"2000_50_hestmannøy";"2000_50";50;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";NA;"capt";NA;0;0;0;0;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"113";"2000_51_sleneset";"2000_51";51;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;1;0;0;0;60;0;4.0943445622221;60;43.1818181818182;0.420454545454546
"114";"2000_52_sleneset";"2000_52";52;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;0;0;0;0;60;0;4.0943445622221;60;43.1818181818182;0.420454545454546
"115";"2000_53_sleneset";"2000_53";53;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;1;0;0;0;60;0;4.0943445622221;60;43.1818181818182;0.420454545454546
"116";"1999_54_træna";"1999_54";54;"1999_træna";1999;"træna";23;1;1998;"no";NA;"capt";NA;0;0;0;0;77;0;4.34380542185368;77;63.4545454545455;0.338636363636364
"117";"1999_55_træna";"1999_55";55;"1999_træna";1999;"træna";23;1;1998;"no";"obs";"capt";NA;1;0;0;0;77;0;4.34380542185368;77;63.4545454545455;0.338636363636364
"118";"1999_56_indre kvarøy";"1999_56";56;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"no";NA;"capt";NA;0;1;1;3;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"119";"2000_56_indre kvarøy";"2000_56";56;"2000_indre kvarøy";2000;"indre kvarøy";28;2;1998;"no";"obs";NA;NA;0;1;1;3;32;1;3.46573590279973;32;59.2272727272727;-0.680681818181818
"120";"2001_56_indre kvarøy";"2001_56";56;"2001_indre kvarøy";2001;"indre kvarøy";28;3;1998;"no";"obs";"capt";NA;0;0;2;2;40;1;3.68887945411394;40;59.2272727272727;-0.480681818181818
"121";"2000_57_indre kvarøy";"2000_57";57;"2000_indre kvarøy";2000;"indre kvarøy";28;1;1999;"no";"obs";"capt";NA;1;0;0;0;32;1;3.46573590279973;32;59.2272727272727;-0.680681818181818
"122";"2000_58_hestmannøy";"2000_58";58;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"yes";NA;NA;NA;0;1;1;3;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"123";"2001_58_hestmannøy";"2001_58";58;"2001_hestmannøy";2001;"hestmannøy";27;2;1999;"no";"obs";"capt";NA;0;0;0;0;141;1;4.94875989037817;141;145.181818181818;-0.104545454545455
"124";"2000_59_hestmannøy";"2000_59";59;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";"obs";"capt";NA;1;1;0;2;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"125";"2001_59_hestmannøy";"2001_59";59;"2001_hestmannøy";2001;"hestmannøy";27;2;1999;"no";"obs";"capt";NA;1;0;1;1;141;1;4.94875989037817;141;145.181818181818;-0.104545454545455
"126";"2000_60_gjerøy";"2000_60";60;"2000_gjerøy";2000;"gjerøy";26;1;1999;"no";"obs";"capt";NA;1;1;2;4;67;1;4.20469261939097;67;82.1363636363636;-0.378409090909091
"127";"2001_60_gjerøy";"2001_60";60;"2001_gjerøy";2001;"gjerøy";26;2;1999;"no";"obs";NA;NA;1;1;1;3;59;1;4.07753744390572;59;82.1363636363636;-0.578409090909091
"128";"2002_60_gjerøy";"2002_60";60;"2002_gjerøy";2002;"gjerøy";26;3;1999;"no";"obs";"capt";NA;1;0;4;4;52;1;3.95124371858143;52;82.1363636363636;-0.753409090909091
"129";"2000_61_gjerøy";"2000_61";61;"2000_gjerøy";2000;"gjerøy";26;1;1999;"no";"obs";NA;NA;1;0;0;0;67;1;4.20469261939097;67;82.1363636363636;-0.378409090909091
"130";"2000_62_sleneset";"2000_62";62;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;1;0;0;0;60;0;4.0943445622221;60;43.1818181818182;0.420454545454546
