"stage";"Year";"Location";"total"
"460";"nest";2008;"gjerøy";80
"461";"nest";2008;"hestmannøy";98
"462";"nest";2008;"indre kvarøy";80
"463";"nest";2008;"lovund";27
"464";"nest";2008;"myken";31
"465";"nest";2008;"nesøy";31
"466";"nest";2008;"selvær";70
"467";"nest";2008;"sleneset";38
"468";"nest";2008;"træna";57
"469";"nest";2009;"aldra";27
"470";"nest";2009;"gjerøy";131
"471";"nest";2009;"hestmannøy";192
"472";"nest";2009;"indre kvarøy";6
"473";"nest";2009;"lovund";53
"474";"nest";2009;"myken";12
"475";"nest";2009;"nesøy";35
"476";"nest";2009;"selvær";91
"477";"nest";2009;"sleneset";81
"478";"nest";2009;"træna";107
"479";"nest";2010;"aldra";19
"480";"nest";2010;"gjerøy";152
"481";"nest";2010;"hestmannøy";142
"482";"nest";2010;"indre kvarøy";87
"483";"nest";2010;"lovund";47
"484";"nest";2010;"myken";33
"485";"nest";2010;"nesøy";44
"486";"nest";2010;"selvær";91
"487";"nest";2010;"sleneset";68
"488";"nest";2010;"træna";78
"489";"nest";2011;"aldra";14
"490";"nest";2011;"gjerøy";170
"491";"nest";2011;"hestmannøy";253
"492";"nest";2011;"indre kvarøy";33
"493";"nest";2011;"lovund";75
"494";"nest";2011;"myken";67
"495";"nest";2011;"nesøy";61
"496";"nest";2011;"selvær";127
"497";"nest";2011;"sleneset";70
"498";"nest";2011;"træna";134
"499";"nest";2012;"aldra";25
"500";"nest";2012;"gjerøy";212
"501";"nest";2012;"hestmannøy";76
"502";"nest";2012;"indre kvarøy";61
"503";"nest";2012;"lovund";33
"504";"nest";2012;"myken";47
"505";"nest";2012;"nesøy";50
"506";"nest";2012;"selvær";40
"507";"nest";2012;"sleneset";95
"508";"nest";2012;"træna";56
"509";"nest";2013;"aldra";10
"510";"nest";2013;"gjerøy";90
"511";"nest";2013;"hestmannøy";99
"512";"nest";2013;"indre kvarøy";86
"513";"nest";2013;"lovund";69
"514";"nest";2013;"myken";16
"515";"nest";2013;"nesøy";19
"516";"nest";2013;"selvær";85
"517";"nest";2013;"sleneset";75
"518";"nest";2013;"træna";131
"519";"nest";2014;"aldra";1
"520";"nest";2014;"gjerøy";50
"521";"nest";2014;"hestmannøy";63
